DATETIME,RTC_TEMP_C,TEMP_C,PHOTO,BATTERY_LEVEL
2014-08-08 18:42:04,25.00,22.85,203,706
2014-08-08 18:42:09,25.00,22.82,143,706
2014-08-08 18:42:14,24.75,22.77,17,706
2014-08-08 18:42:20,24.75,22.77,29,706
2014-08-08 18:42:25,24.75,22.85,399,706
2014-08-08 18:42:30,24.75,22.96,529,706
2014-08-08 18:42:36,24.75,23.03,505,706
2014-08-08 18:42:41,24.75,23.03,548,706
2014-08-08 18:42:46,24.75,23.03,655,706
2014-08-08 18:42:52,24.75,23.03,630,706
2014-08-08 18:42:57,24.75,22.94,613,706
2014-08-08 18:43:02,24.75,22.96,534,706
2014-08-08 18:43:08,24.75,23.11,277,706
2014-08-08 18:43:13,24.75,23.11,340,706
